location,class_mark
top floor front left,HF
top floor front left,"E,F"
top floor back right,PS
middle floor,CC
top floor back left,N
top floor front right,QB
top floor front right,"QP,RB"
top floor front right,QH
top floor front right,"QR,RB"
top floor front right,"QK,S"
middle floor,DA
top floor front left,"HD,HE,HF"
top floor front right,QD
top floor back right,PL
top floor front right,"QA,TK"
top floor front right,RC
top floor back left,HV
top floor front right,QH
top floor front left,"HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ"
top floor back left,L
top floor back right,PE
top floor back right,PR
top floor front left,"GE,GF"
top floor back right,PN
top floor front left,"HG,HH,HI,HJ"
top floor back left,HV
top floor back right,PC
top floor front left,"G,GA,GB,GC,GD,GE,GF"
top floor front right,QE
top floor back right,PF
middle floor,D
top floor front right,"QM,QN,QO,QP,QQ,QR"
top floor front left,"HD,HE,HF"
ground floor,JX
ground floor,JZ
top floor back right,PC
top floor back right,PL
ground floor,K
top floor front left,"HD,HE,HF"
top floor front right,QA
top floor back right,P
top floor front right,QP
top floor front right,R
top floor front right,"RA,RB,RC"
top floor front right,M T
top floor front right,ML
top floor front right,RC
top floor front right,RI
top floor front right,RM
top floor front right,RS
middle floor,"B,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,"
top floor front right,QC
top floor front right,QP
top floor front right,RM
top floor back left,"J,JA,JB,JC,JD,JE,JF,JG,JH,JI,JJ,JK,JL,JM,JN,JO,JP,JQ,JR,JS,JT,JU,JV,JW,JX"
middle floor,BF
top floor front right,RC
middle floor,"BL,BM,BN,BO,BP,BQ,BR,BS,BT,BU,BV,BW,BX"
top floor back right,PG
top floor back left,HV
top floor back left,"HM,HN,HO,HP,HQ,HR,HS,HT"
top floor back right,PC
top floor front right,SF
